SKU Number,Product Description,Subcategory Description,Category Description,Department Description
948519,Tuna and Sweetcorn Sandwich,Sandwich,Main,Food to go
373843,Salmon and Cream Cheese Sandwich,Sandwich,Main,Food to go
664587,BLT Sandwich,Sandwich,Main,Food to go
735384,Ceasar Salad,Salad,Main,Food to go
121593,Couscous Salad,Salad,Main,Food to go
747366,Diet Coke,Soft Drink,Drink,Food to go
207218,Coke Zero,Soft Drink,Drink,Food to go
510612,Irn Bru,Soft Drink,Drink,Food to go
920146,Red Bull,Energy Drink,Drink,Food to go
036490,Orange Juice,Fruit Juice,Drink,Food to go
298655,Apple Juice,Fruit Juice,Drink,Food to go
143655,Iced and Spiced Buns,Baked,Side,Food to go
416334,Flapjack,Baked,Side,Food to go
755226,Apple and Peanut Butter,Healthy,Side,Food to go
639472,Farmhouse,Sliced,Bread,Bakery
125806,Seeeded,Sliced,Bread,Bakery
532013,Sourdough,Unsliced,Bread,Bakery
642840,Chocolate Birthday Cake,Birthday,Cake,Bakery
134483,Sponge Birthday Cake,Birthday,Cake,Bakery
572675,Fruit Cake,Non-Birthday,Cake,Bakery
399598,Chocolate Chip Cookies,Cookies,Multipack,Bakery
224910,White Chocolate Chip Cookies,Cookies,Multipack,Bakery
721715,Ginger Snap Cookies,Cookies,Multipack,Bakery
733947,Blueberry Muffins,Muffins,Multipack,Bakery
746859,Lemon,Citrus,Fruit,Fruit and Veg
616897,Lime,Citrus,Fruit,Fruit and Veg
946572,Orange Juice,Citrus,Fruit,Fruit and Veg
274644,Pink Lady,Apple,Fruit,Fruit and Veg
167003,Granny Smith,Apple,Fruit,Fruit and Veg
302417,Golden Delicious,Pear,Fruit,Fruit and Veg
508044,Carrot,Root,Veg,Fruit and Veg
688687,Potato,Root,Veg,Fruit and Veg
896133,Cabbage,Leafy,Veg,Fruit and Veg
543915,Kale,Leafy,Veg,Fruit and Veg
168800,Whole Bird,Chicken,Poultry,Meat
176753,Breast,Chicken,Poultry,Meat
920935,Drumbsticks,Chicken,Poultry,Meat
262809,Whole Bird,Turkey,Poultry,Meat
330475,Slices,Turkey,Poultry,Meat
216375,Sirloin,Steak,Beef,Meat
052242,Ribeye,Steak,Beef,Meat
752048,Beef Mince,Mince,Beef,Meat
